"","site_name","site_address","site_city","site_state","site_zip","latitude","longitude","site_type"
"193","Temporary Site - Burr Ridge Middle School","15W458 91st St","Willowbrook","IL","60527",41.72368976,-87.92628635,"Federally Qualified Health Center"
"194","Beloved Community Family Wellness Center Halsted Dental Site Suite 1A","6853 S Halsted St Ste 1A","Chicago","IL","60621-1867",41.76909402,-87.64410203,"Federally Qualified Health Center"
"195","Clay Medical Center","165 Kinnaman Dr","Flora","IL","62839-4204",38.66626999,-88.51648004,"Federally Qualified Health Center"
"196","HEARTLAND ALLIANCE HEALTH - ENGLEWOOD","5501 S Halsted St","Chicago","IL","60621-2229",41.79380185,-87.64512739,"Federally Qualified Health Center"
"197","ACCESS Family Health Society","152 W Lincoln Hwy","Chicago Heights","IL","60411-2619",41.50603251,-87.64711197,"Federally Qualified Health Center"
"198","Central Collinsville Health Center","1215 Vandalia St","Collinsville","IL","62234-4060",38.68381106,-89.97664588,"Federally Qualified Health Center"
"199","PCC SALUD FAMILY HEALTH CENTER","5359 W Fullerton Ave","Chicago","IL","60639-1450",41.92403781,-87.76086991,"Federally Qualified Health Center"
"200","Community Health Care, Inc. - The Project","1701 River Dr Ste 110","Moline","IL","61265-1384",41.50942634,-90.51419032,"Federally Qualified Health Center"
"201","Aunt Martha's Aurora Community Health Center","2124 Ogden Ave Ste 201","Aurora","IL","60504-7542",41.73132441,-88.26323684,"Federally Qualified Health Center"
"202","TCA Health, Inc.","1029 E 130th St","Chicago","IL","60628-6908",41.65907245,-87.60261574,"Federally Qualified Health Center"
"203","UI Health Mile Square Health Center L.P. Johnson Rockford","1221 E State St","Rockford","IL","61104-2231",42.2668872,-89.07635806,"Federally Qualified Health Center"
"204","East St. Louis School Based Clinic","4901 State St","East Saint Louis","IL","62205-1356",38.60697071,-90.10222246,"Federally Qualified Health Center"
"205","Children’s Medical Center","2810 Frank Scott Pkwy W Ste 828","Belleville","IL","62223-5007",38.53814636,-90.03689223,"Federally Qualified Health Center"
"206","Centreville Health Center","6000 Bond Ave","Centreville","IL","62207-2328",38.57025093,-90.10648977,"Federally Qualified Health Center"
"207","Metropolis Medical Clinic","1003 E 5th St","Metropolis","IL","62960-2311",37.14550723,-88.71924532,"Federally Qualified Health Center"
"208","James and Catherine Denny Primary Care and Preventative Medicine Center","30 W Chicago Ave","Chicago","IL","60654-3231",41.89670082,-87.62951526,"Federally Qualified Health Center"
"209","Stickney Township Public Health District - South Clinic","5635 State Rd","Burbank","IL","60459-2051",41.74554736,-87.76248443,"Federally Qualified Health Center"
"210","Crossing Healthcare at Oasis Drop In Center","243 W Cerro Gordo St","Decatur","IL","62522-2101",39.84680672,-88.9581168,"Federally Qualified Health Center"
"211","Erie Foster Avenue Health Center","5215 N California Ave Ste F700","Chicago","IL","60625-8562",41.97628263,-87.69889319,"Federally Qualified Health Center"
"212","Erie Clemente Wildcats Student Health Center","1147 N Western Ave","Chicago","IL","60622-2931",41.90248098,-87.68697253,"Federally Qualified Health Center"
"213","Howard Brown Health Diversey","2800 N Sheridan Rd Ste 211","Chicago","IL","60657-6161",41.93293873,-87.63935576,"Federally Qualified Health Center"
"214","Lake Health Center","1515 E Lake St Ste 202","Hanover Park","IL","60133-7152",41.98429628,-88.14299383,"Federally Qualified Health Center"
"215","Challand Middle School","1700 6th Ave Rm med1","Sterling","IL","61081-1379",41.80381731,-89.68892258,"Federally Qualified Health Center"
"216","LCHC at Farragut Academy","3256 W 24th St","Chicago","IL","60623-3407",41.84821134,-87.70688203,"Federally Qualified Health Center"
"217","UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, CICERO","4747 W Cermak Rd","Cicero","IL","60804-2508",41.85116961,-87.74266128,"Federally Qualified Health Center"
"218","Community Health Care, Inc. Moline","1106 4th Ave","Moline","IL","61265-1231",41.50537252,-90.52198876,"Federally Qualified Health Center"
"219","VNA Mobile Health Services","400 N Highland Ave","Aurora","IL","60506-3814",41.76597398,-88.32909748,"Federally Qualified Health Center"
"220","PCC Dr. Tong Health Center","1 Erie Ct Ste 6040","Oak Park","IL","60302-2510",41.89118499,-87.77551804,"Federally Qualified Health Center"
"221","Red Bud Health Center","824 Locust St","Red Bud","IL","62278-1209",38.20385275,-89.99535264,"Federally Qualified Health Center"
"222","Promise Healthcare at the USBHC","1002 S Race St","Urbana","IL","61801-4957",40.10443996,-88.20960406,"Federally Qualified Health Center"
"223","MOBILE HEALTH VAN","9718 S Halsted St","Chicago","IL","60628-1007",41.7169831,-87.64318799,"Federally Qualified Health Center"
"224","CHICAGO FAMILY HEALTH CENTER, INC.","9119 S Exchange Ave","Chicago","IL","60617-4225",41.72948529,-87.5525401,"Federally Qualified Health Center"
"225","LCHC at Pacific Garden Mission","1458 S Canal St Fl 1","Chicago","IL","60607-5201",41.86201931,-87.63912687,"Federally Qualified Health Center"
"226","ACCESS Servicios Médicos La Villita","3303 W 26th St","Chicago","IL","60623-4036",41.84442016,-87.7076974,"Federally Qualified Health Center"
"227","Crossing Healthcare Schrodt Community Health Center","320 E Central Ave","Decatur","IL","62521-4665",39.84913745,-88.95284066,"Federally Qualified Health Center"
"228","Southwestern School District #9","8226 Route 111","Piasa","IL","62079-2051",39.11814847,-90.14178265,"Federally Qualified Health Center"
"229","Eagle View Community Health System - Oquawka Location","1204 Highway 164 E","Oquawka","IL","61469-3204",40.92547282,-90.87336139,"Federally Qualified Health Center"
"230","HARDIN COUNTY DENTAL CLINIC","Main St","Rosiclare","IL","62982",37.42924358,-88.3462591,"Federally Qualified Health Center"
"231","ACCESS Addison Family Health Center","1111 W Lake St","Addison","IL","60101-1101",41.94369906,-88.01603986,"Federally Qualified Health Center"
"232","LCHC at Breakthrough Women's Center","3330 W Carroll Ave","Chicago","IL","60624-2034",41.8875055,-87.709976,"Federally Qualified Health Center"
"233","Central Alton Health Center","2615 Edwards St Ste 171","Alton","IL","62002-3915",38.90113247,-90.14734082,"Federally Qualified Health Center"
"234","Aunt Martha's Health Center West Joliet","333 Madison St Ste 150","Joliet","IL","60435-8200",41.52787701,-88.13464747,"Federally Qualified Health Center"
"235","Parrish Elementary School Health Center","121 N Parrish Ln Rm 123","Carbondale","IL","62901-2024",37.72559282,-89.25063661,"Federally Qualified Health Center"
"236","ACCESS Des Plaines Valley Health Center","7450 W 63rd St","Summit Argo","IL","60501-1816",41.77717149,-87.80789364,"Federally Qualified Health Center"
"237","Rea Clinic - Du Quoin","1564 S Washington St","Du Quoin","IL","62832-3849",37.98515838,-89.23357678,"Federally Qualified Health Center"
"238","ACCESS Hawthorne Family Health Center","3040 S Cicero Ave","Cicero","IL","60804-3638",41.8369249,-87.7437919,"Federally Qualified Health Center"
"239","Erie Helping Hands Health Center","4747 N Kedzie Ave","Chicago","IL","60625-4420",41.96805001,-87.70843247,"Federally Qualified Health Center"
"240","Heartland Health Center - Albany Park","3737 W Lawrence Ave","Chicago","IL","60625-5746",41.9682762,-87.7222,"Federally Qualified Health Center"
"241","ALIVIO MEDICAL CENTER","966 W 21st St","Chicago","IL","60608-4511",41.85390991,-87.65098626,"Federally Qualified Health Center"
"242","FAMILY CHRISTIAN HEALTH CENTER","31 W 155th St","Harvey","IL","60426-3556",41.60818668,-87.65797653,"Federally Qualified Health Center"
"243","Asian Human Services Skokie Clinic","8800 Lockwood Ave","Skokie","IL","60077-1500",42.04108686,-87.75928053,"Federally Qualified Health Center"
"244","South Suburban Homeless Outreach Center","15420 Dixie Hwy Unit G","Harvey","IL","60426-3479",41.60839805,-87.67058336,"Federally Qualified Health Center"
"245","Community Health Fairs","233 W Joe Orr Rd Bldg North","Chicago Heights","IL","60411-1744",41.52059418,-87.65242769,"Federally Qualified Health Center"
"246","MT VERNON COMMUNITY HLTH CENTER","2920 Veterans Memorial Dr","Mount Vernon","IL","62864-5924",38.2998675,-88.92760996,"Federally Qualified Health Center"
"247","Hamdard-Chicago","1542 W Devon Ave","Chicago","IL","60660-1344",41.99812189,-87.66969877,"Federally Qualified Health Center"
"248","Carlinville Community Unit School District #1","829 W Main St","Carlinville","IL","62626-1261",39.27969249,-89.89319799,"Federally Qualified Health Center"
"249","Crusader Community Health-South Beloit High School","245 Prairie Hill Rd","South Beloit","IL","61080-2579",42.47065659,-89.04474869,"Federally Qualified Health Center"
"250","Friend Family Health Center - Cottage Grove","800 E 55th St","Chicago","IL","60615-4906",41.79498639,-87.60567729,"Federally Qualified Health Center"
"251","Heartland Community Health Clinic DBA: Heartland Health Services - Sheridan","2116 N Sheridan Rd Rm 104","Peoria","IL","61604-3457",40.71322935,-89.60341981,"Federally Qualified Health Center"
"252","PCC COMMUNITY WELLNESS CENTER","14 Lake St","Oak Park","IL","60302-2606",41.88806335,-87.77549566,"Federally Qualified Health Center"
"253","LCHC at Walls Memorial","200 S Sacramento Blvd","Chicago","IL","60612-2716",41.87827111,-87.70115706,"Federally Qualified Health Center"
"254","University of Illinois Mile Square Health Center - IMD","1220 S Wood St","Chicago","IL","60608-1202",41.86608638,-87.67135476,"Federally Qualified Health Center"
"255","Hazel Crest Community Health Center","17850 Kedzie Ave Ste 1150","Hazel Crest","IL","60429-2095",41.56540698,-87.69677601,"Federally Qualified Health Center"
"256","Howard Brown Health 55th Street","5500 S Lake Park Ave Fl 1","Chicago","IL","60637-1917",41.79515457,-87.58759778,"Federally Qualified Health Center"
"257","ACCESS Melrose Park Official COVID-19 Site","8323 W North Ave","Melrose Park","IL","60160-1605",41.90564398,-87.83183998,"Federally Qualified Health Center"
"258","ACCESS Pilsen Family Health Center","1817 S Loomis St","Chicago","IL","60608-3018",41.85745607,-87.6612276,"Federally Qualified Health Center"
"259","Chicago Family Health Center - CVCA","2100 E 87th St","Chicago","IL","60617-3011",41.73714082,-87.57251605,"Federally Qualified Health Center"
"260","ACCESS Evanston Family Health Center","1723 Howard St","Evanston","IL","60202-3735",42.01940086,-87.69756893,"Federally Qualified Health Center"
"261","Erie Westside Health Center at Laura S. Ward Elementary","646 N Lawndale Ave","Chicago","IL","60624-1254",41.89323591,-87.71869359,"Federally Qualified Health Center"
"262","Crossing Healthcare at Decatur Memorial Hospital","2300 N Edward St","Decatur","IL","62526-4163",39.86673699,-88.95943614,"Federally Qualified Health Center"
"263","WINDSOR HEALTH CTR","100 N 8th St Ste 256","East Saint Louis","IL","62201-2989",38.62273795,-90.15695319,"Federally Qualified Health Center"
"264","ACCESS Ashland Family Health Center","5159 S Ashland Ave","Chicago","IL","60609-4931",41.79976302,-87.6646698,"Federally Qualified Health Center"
"265","ACCESS Brandon Family Health Center","2822 E 83rd St","Chicago","IL","60617-2105",41.74467179,-87.55541149,"Federally Qualified Health Center"
"266","LCHC at Homan Square","3517 W Arthington St Side West","Chicago","IL","60624-4165",41.86995488,-87.71326606,"Federally Qualified Health Center"
"267","ACCESS Genesis Center for Health and Empowerment","1 N Broadway St","Des Plaines","IL","60016-2335",42.05192181,-87.90931517,"Federally Qualified Health Center"
"268","Heartland Health Center - C4 - Broadway","5710 N Broadway St","Chicago","IL","60660-4302",41.9859717,-87.66017358,"Federally Qualified Health Center"
"269","University of Illinois Medical Center - Mile Square Health Center at South Shore","7037 S Stony Island Ave","Chicago","IL","60649-1905",41.7668431,-87.58591411,"Federally Qualified Health Center"
"270","Mile Square Englewood STEM-Cook Satellite","8150 S Bishop St","Chicago","IL","60620-3854",41.74520128,-87.65967611,"Federally Qualified Health Center"
"271","ACCESS Grand Boulevard Health and Specialty Center","5401 S Wentworth Ave Spc 5","Chicago","IL","60609-6300",41.79621765,-87.63052729,"Federally Qualified Health Center"
"272","LCHC at Garfield Park FamilyPlex","3219 W Carroll Ave Fl 1","Chicago","IL","60624-2031",41.88748932,-87.70724869,"Federally Qualified Health Center"
"273","WAYSIDE CROSS MINISTRIES","215 E New York St","Aurora","IL","60505-3400",41.75740822,-88.31068789,"Federally Qualified Health Center"
"274","Chicago Family Health Center- Chicago Lawn","3223 W 63rd St","Chicago","IL","60629-3333",41.77888319,-87.70393672,"Federally Qualified Health Center"
"275","Association for Individual Development - Bowes Road","1135 Bowes Rd","Elgin","IL","60123-5541",42.00827598,-88.30560636,"Federally Qualified Health Center"
"276","Belvidere Medical Building","2400 Belvidere Rd","Waukegan","IL","60085-6165",42.35164148,-87.86257584,"Federally Qualified Health Center"
"277","Shawnee Health Care, Carbondale","400 S Lewis Ln","Carbondale","IL","62901-3547",37.72340466,-89.19941713,"Federally Qualified Health Center"
"278","ACCESS Northwest Family Health Center","1120 N Arlington Heights Rd","Arlington Heights","IL","60004-4767",42.09643198,-87.98171797,"Federally Qualified Health Center"
"279","VNA Health Center - Elgin Wing","620 Wing St","Elgin","IL","60123-2800",42.04523716,-88.29469404,"Federally Qualified Health Center"
"280","Aunt Martha's Rockford Community Health Center","1401 E State St Ste 3000","Rockford","IL","61104-2315",42.26523098,-89.07407902,"Federally Qualified Health Center"
"281","SIU Center for Family Medicine-Integrated Wellness Clinic","710 N 8th St","Springfield","IL","62702-6324",39.80893005,-89.64478688,"Federally Qualified Health Center"
"282","Reavis School Based Health Center","834 E 50th St","Chicago","IL","60615-2620",41.80411185,-87.60473399,"Federally Qualified Health Center"
"283","ACCESS Kedzie Family Health Center","3229 W 47th Pl","Chicago","IL","60632-3011",41.80677457,-87.70497996,"Federally Qualified Health Center"
"284","Watseka Community Health Center","200 E Walnut St","Watseka","IL","60970-1356",40.77636568,-87.73266424,"Federally Qualified Health Center"
